user_id,experiment_id,variant,assigned_date
U-10257,exp_onboarding_v2,control,2025-03-17
U-10263,exp_onboarding_v2,treatment,2025-03-17
U-10265,exp_onboarding_v2,treatment,2025-03-17
U-10268,exp_onboarding_v2,control,2025-03-17
U-10270,exp_onboarding_v2,treatment,2025-03-17
U-10274,exp_onboarding_v2,treatment,2025-03-17
U-10275,exp_onboarding_v2,control,2025-03-17
U-10277,exp_onboarding_v2,treatment,2025-03-17
U-10278,exp_onboarding_v2,control,2025-03-17
U-10279,exp_onboarding_v2,control,2025-03-17
U-10280,exp_onboarding_v2,treatment,2025-03-17
U-10282,exp_onboarding_v2,control,2025-03-17
U-10284,exp_onboarding_v2,control,2025-03-17
U-10286,exp_onboarding_v2,treatment,2025-03-17
U-10288,exp_onboarding_v2,control,2025-03-17
U-10291,exp_onboarding_v2,control,2025-03-17
U-10296,exp_onboarding_v2,treatment,2025-03-17
U-10297,exp_onboarding_v2,treatment,2025-03-17
U-10298,exp_onboarding_v2,treatment,2025-03-17
U-10299,exp_onboarding_v2,treatment,2025-03-17
U-10301,exp_onboarding_v2,treatment,2025-03-17
U-10302,exp_onboarding_v2,control,2025-03-17
U-10304,exp_onboarding_v2,control,2025-03-17
U-10307,exp_onboarding_v2,treatment,2025-03-17
U-10314,exp_onboarding_v2,control,2025-03-17
U-10315,exp_onboarding_v2,treatment,2025-03-17
U-10316,exp_onboarding_v2,treatment,2025-03-17
U-10319,exp_onboarding_v2,treatment,2025-03-17
U-10320,exp_onboarding_v2,treatment,2025-03-17
U-10322,exp_onboarding_v2,control,2025-03-17
U-10326,exp_onboarding_v2,control,2025-03-17
U-10327,exp_onboarding_v2,control,2025-03-17
U-10328,exp_onboarding_v2,treatment,2025-03-17
U-10329,exp_onboarding_v2,control,2025-03-17
U-10330,exp_onboarding_v2,control,2025-03-17
U-10331,exp_onboarding_v2,treatment,2025-03-17
U-10332,exp_onboarding_v2,control,2025-03-17
U-10334,exp_onboarding_v2,control,2025-03-17
U-10335,exp_onboarding_v2,treatment,2025-03-17
U-10338,exp_onboarding_v2,control,2025-03-17
U-10339,exp_onboarding_v2,control,2025-03-17
U-10343,exp_onboarding_v2,control,2025-03-17
