transaction_id,user_id,transaction_date,plan_name,amount,currency,payment_method,status,failure_reason,retry_count
TXN-U-00072-2025-01-06-F,U-00072,2025-01-06,monthly_pro,19900,KRW,card,failed,expired_card,0
TXN-U-00072-2025-01-06-R,U-00072,2025-01-07,monthly_pro,19900,KRW,card,completed,,1
TXN-U-00077-2025-01-06,U-00077,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-00389-2025-01-06,U-00389,2025-01-06,annual_basic,99000,KRW,card,completed,,0
TXN-U-00600-2025-01-06,U-00600,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-00999-2025-01-06,U-00999,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-01091-2025-01-06,U-01091,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-01163-2025-01-06-RES,U-01163,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-01291-2025-01-06-RES,U-01291,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-01381-2025-01-06,U-01381,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-01568-2025-01-06-RES,U-01568,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-01745-2025-01-06,U-01745,2025-01-06,monthly_pro,19900,KRW,card,completed,,0
TXN-U-01793-2025-01-06-RES,U-01793,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-01810-2025-01-06,U-01810,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-02006-2025-01-06,U-02006,2025-01-06,annual_pro,199000,KRW,card,completed,,0
TXN-U-02207-2025-01-06,U-02207,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-02311-2025-01-06,U-02311,2025-01-06,monthly_pro,19900,KRW,card,completed,,0
TXN-U-02513-2025-01-06,U-02513,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-02515-2025-01-06,U-02515,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-02947-2025-01-06,U-02947,2025-01-06,monthly_pro,19900,KRW,card,completed,,0
TXN-U-03044-2025-01-06-RES,U-03044,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-03292-2025-01-06,U-03292,2025-01-06,annual_basic,99000,KRW,card,completed,,0
TXN-U-03453-2025-01-06,U-03453,2025-01-06,annual_pro,199000,KRW,card,completed,,0
TXN-U-03467-2025-01-06,U-03467,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-03571-2025-01-06,U-03571,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-03650-2025-01-06,U-03650,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
TXN-U-03738-2025-01-06,U-03738,2025-01-06,monthly_basic,9900,KRW,card,completed,,0
