user_id,plan_name,action,action_date,previous_plan,cancel_reason
U-00004,annual_pro,subscribe,2024-07-07,,
U-00007,monthly_pro,subscribe,2024-12-27,,
U-00015,annual_basic,subscribe,2024-11-10,,
U-00049,monthly_pro,subscribe,2024-11-07,,
U-00058,annual_pro,subscribe,2024-11-28,,
U-00071,monthly_basic,subscribe,2024-07-04,,
U-00074,monthly_pro,subscribe,2024-08-11,,
U-00078,monthly_pro,subscribe,2024-09-26,,
U-00084,annual_pro,subscribe,2024-12-30,,
U-00086,annual_basic,subscribe,2024-07-05,,
U-00090,annual_pro,subscribe,2024-04-09,,
U-00103,monthly_basic,subscribe,2024-11-19,,
U-00107,annual_pro,subscribe,2024-05-17,,
U-00110,monthly_basic,subscribe,2025-01-06,,
U-00114,monthly_basic,subscribe,2024-06-21,,
U-00122,monthly_basic,subscribe,2024-10-17,,
U-00124,monthly_basic,subscribe,2024-10-14,,
U-00127,monthly_basic,subscribe,2024-03-22,,
U-00164,annual_pro,subscribe,2024-12-30,,
U-00168,monthly_pro,subscribe,2024-11-16,,
U-00177,monthly_basic,subscribe,2024-05-09,,
U-00179,monthly_basic,subscribe,2024-09-13,,
U-00182,monthly_basic,subscribe,2024-11-15,,
U-00195,annual_pro,subscribe,2024-09-19,,
U-00210,monthly_basic,subscribe,2025-01-13,,
U-00212,monthly_basic,subscribe,2024-12-06,,
U-00234,monthly_basic,subscribe,2024-11-16,,
U-00245,monthly_pro,subscribe,2024-07-01,,
U-00249,annual_pro,subscribe,2024-11-17,,
U-00256,monthly_pro,subscribe,2025-01-14,,
U-00263,monthly_basic,subscribe,2024-08-30,,
U-00275,monthly_pro,subscribe,2024-05-31,,
U-00275,monthly_pro,cancel,2024-11-16,,not_using
U-00276,monthly_basic,subscribe,2024-05-20,,
U-00278,annual_basic,subscribe,2024-10-21,,
U-00281,monthly_basic,subscribe,2024-11-24,,
U-00282,annual_basic,subscribe,2024-07-02,,
U-00285,annual_basic,subscribe,2024-10-04,,
U-00287,monthly_basic,subscribe,2024-12-19,,
U-00291,annual_basic,subscribe,2024-03-12,,
U-00311,monthly_basic,subscribe,2024-12-30,,
U-00312,monthly_basic,subscribe,2024-07-04,,
U-00315,monthly_pro,subscribe,2024-12-05,,
U-00317,monthly_pro,subscribe,2024-09-11,,
U-00330,monthly_pro,subscribe,2024-12-21,,
U-00362,monthly_basic,subscribe,2024-08-10,,
U-00364,monthly_basic,subscribe,2024-10-09,,
U-00369,annual_basic,subscribe,2024-03-10,,
U-00371,monthly_basic,subscribe,2024-10-14,,
U-00380,monthly_basic,subscribe,2024-12-18,,
U-00385,monthly_basic,subscribe,2024-09-07,,
U-00386,annual_basic,subscribe,2024-08-05,,
U-00405,annual_pro,subscribe,2024-12-11,,
U-00414,monthly_basic,subscribe,2024-07-10,,
U-00443,monthly_pro,subscribe,2024-10-29,,
U-00447,monthly_pro,subscribe,2024-11-26,,
U-00448,monthly_basic,subscribe,2024-10-08,,
U-00459,annual_pro,subscribe,2024-11-04,,
U-00460,monthly_basic,subscribe,2024-07-28,,
U-00463,monthly_pro,subscribe,2024-07-27,,
U-00465,monthly_pro,subscribe,2024-10-17,,
U-00496,monthly_basic,subscribe,2024-11-16,,
U-00497,monthly_pro,subscribe,2024-09-10,,
U-00499,monthly_basic,subscribe,2024-09-29,,
U-00499,monthly_basic,cancel,2024-12-11,,too_expensive
U-00503,monthly_pro,subscribe,2024-09-06,,
U-00511,monthly_pro,subscribe,2024-07-04,,
U-00517,monthly_pro,subscribe,2024-07-18,,
U-00533,monthly_basic,subscribe,2024-10-20,,
U-00545,annual_basic,subscribe,2024-08-09,,
U-00546,annual_basic,subscribe,2024-11-15,,
U-00550,monthly_basic,subscribe,2024-04-29,,
U-00550,monthly_basic,cancel,2024-12-24,,too_expensive
U-00563,monthly_pro,subscribe,2024-10-06,,
U-00565,monthly_basic,subscribe,2024-12-18,,
U-00573,monthly_basic,subscribe,2024-11-28,,
U-00599,monthly_basic,subscribe,2024-03-16,,
U-00601,monthly_pro,subscribe,2024-05-02,,
U-00617,annual_pro,cancel,2024-12-23,,found_alternative
U-00621,annual_basic,subscribe,2024-07-21,,
U-00624,monthly_pro,subscribe,2024-05-23,,
U-00633,monthly_pro,subscribe,2024-08-02,,
U-00635,annual_basic,subscribe,2024-06-27,,
U-00645,annual_pro,subscribe,2024-12-23,,
U-00647,monthly_pro,subscribe,2024-12-22,,
U-00648,monthly_basic,subscribe,2024-10-25,,
U-00655,monthly_basic,subscribe,2024-12-16,,
U-00656,monthly_basic,subscribe,2024-09-06,,
U-00656,monthly_basic,cancel,2024-10-12,,not_using
U-00657,annual_basic,subscribe,2024-04-26,,
U-00660,monthly_basic,subscribe,2024-06-05,,
U-00661,monthly_pro,subscribe,2024-10-23,,
U-00663,annual_pro,subscribe,2025-01-13,,
U-00664,monthly_basic,subscribe,2024-05-21,,
U-00665,annual_pro,subscribe,2024-12-02,,
U-00666,monthly_pro,subscribe,2024-11-02,,
U-00673,monthly_basic,subscribe,2025-01-13,,
U-00676,monthly_basic,subscribe,2024-11-03,,
U-00676,monthly_basic,cancel,2024-12-12,,not_using
U-00690,annual_basic,subscribe,2024-11-23,,
U-00700,monthly_basic,subscribe,2024-10-15,,
U-00703,monthly_basic,subscribe,2024-12-15,,
U-00712,monthly_pro,subscribe,2024-11-19,,
U-00732,annual_pro,subscribe,2024-11-10,,
U-00740,monthly_basic,subscribe,2024-08-18,,
U-00744,monthly_pro,subscribe,2024-11-20,,
U-00767,monthly_basic,subscribe,2024-09-20,,
U-00782,monthly_basic,subscribe,2024-10-07,,
U-00784,annual_pro,subscribe,2024-10-07,,
U-00785,annual_pro,subscribe,2024-07-26,,
U-00792,monthly_basic,subscribe,2024-10-08,,
U-00800,monthly_basic,subscribe,2024-12-15,,
U-00809,monthly_pro,subscribe,2024-10-18,,
U-00811,annual_pro,subscribe,2024-09-23,,
U-00815,monthly_basic,subscribe,2024-10-22,,
U-00818,monthly_basic,subscribe,2024-04-08,,
U-00830,monthly_basic,subscribe,2024-12-23,,
U-00831,annual_pro,subscribe,2024-12-23,,
U-00841,monthly_pro,subscribe,2024-08-18,,
U-00846,monthly_basic,subscribe,2024-12-21,,
U-00848,annual_basic,subscribe,2024-08-13,,
U-00864,annual_pro,subscribe,2024-12-31,,
U-00869,annual_basic,subscribe,2024-06-05,,
U-00873,monthly_pro,subscribe,2024-06-17,,
U-00879,monthly_pro,subscribe,2024-06-03,,
U-00879,monthly_pro,cancel,2024-07-11,,not_using
U-00882,monthly_pro,subscribe,2024-07-19,,
U-00885,monthly_basic,subscribe,2024-12-29,,
U-00889,annual_basic,subscribe,2024-08-20,,
U-00893,monthly_pro,subscribe,2024-07-19,,
U-00894,monthly_basic,subscribe,2024-12-20,,
U-00896,monthly_basic,subscribe,2024-09-02,,
U-00899,monthly_basic,subscribe,2024-10-22,,
U-00902,monthly_basic,subscribe,2024-08-04,,
U-00914,monthly_pro,subscribe,2024-12-10,,
U-00915,monthly_pro,subscribe,2024-10-31,,
U-00928,annual_pro,subscribe,2024-10-26,,
U-00939,annual_pro,subscribe,2024-12-18,,
U-00947,monthly_basic,subscribe,2025-01-10,,
U-00949,monthly_basic,subscribe,2025-01-09,,
U-00953,annual_basic,subscribe,2025-01-08,,
U-00960,annual_basic,subscribe,2024-11-17,,
U-00964,monthly_pro,subscribe,2025-01-04,,
U-00972,monthly_basic,subscribe,2024-04-21,,
U-00983,monthly_pro,subscribe,2024-05-28,,
U-00983,monthly_pro,cancel,2024-09-27,,technical_issues
U-00987,annual_pro,subscribe,2025-01-07,,
U-00998,monthly_pro,subscribe,2024-09-20,,
U-01002,annual_pro,subscribe,2024-11-17,,
U-01005,monthly_pro,subscribe,2024-08-27,,
U-01006,monthly_basic,subscribe,2024-09-07,,
U-01030,monthly_basic,subscribe,2024-05-27,,
U-01036,monthly_pro,subscribe,2024-12-10,,
U-01037,monthly_basic,subscribe,2024-07-13,,
U-01039,annual_pro,subscribe,2024-06-19,,
U-01039,annual_pro,cancel,2024-12-25,,too_expensive
U-01045,annual_pro,subscribe,2024-12-05,,
U-01046,monthly_pro,subscribe,2024-10-11,,
U-01048,monthly_pro,subscribe,2024-10-07,,
U-01053,monthly_basic,subscribe,2024-10-13,,
U-01054,monthly_pro,subscribe,2024-09-24,,
U-01056,annual_basic,subscribe,2024-04-18,,
U-01065,annual_pro,subscribe,2024-04-20,,
U-01065,annual_pro,cancel,2024-11-12,,too_expensive
U-01072,monthly_basic,subscribe,2024-09-22,,
U-01078,annual_basic,subscribe,2024-12-04,,
U-01078,annual_basic,cancel,2024-12-28,,found_alternative
U-01083,monthly_pro,subscribe,2024-08-20,,
U-01103,monthly_basic,subscribe,2024-08-26,,
U-01104,monthly_pro,subscribe,2024-11-15,,
U-01104,monthly_pro,cancel,2024-12-17,,too_expensive
U-01114,annual_basic,subscribe,2024-07-10,,
U-01116,annual_pro,subscribe,2024-12-17,,
U-01118,annual_basic,subscribe,2024-12-05,,
U-01129,annual_basic,subscribe,2024-07-25,,
U-01158,monthly_basic,subscribe,2024-07-29,,
U-01169,monthly_pro,subscribe,2024-03-16,,
U-01176,annual_pro,subscribe,2024-12-01,,
U-01183,annual_pro,subscribe,2024-04-25,,
U-01191,monthly_basic,subscribe,2024-11-23,,
U-01209,monthly_basic,subscribe,2024-06-16,,
U-01211,monthly_basic,subscribe,2024-05-20,,
U-01215,annual_basic,subscribe,2024-11-26,,
U-01219,monthly_pro,subscribe,2024-06-03,,
U-01220,annual_pro,subscribe,2024-06-29,,
U-01223,monthly_pro,subscribe,2024-11-13,,
U-01224,monthly_pro,subscribe,2024-06-18,,
U-01229,monthly_pro,subscribe,2024-09-23,,
U-01234,annual_basic,subscribe,2024-12-23,,
U-01241,monthly_basic,subscribe,2024-04-17,,
U-01269,monthly_basic,subscribe,2024-07-20,,
U-01271,monthly_pro,subscribe,2024-09-19,,
U-01273,annual_basic,subscribe,2024-06-09,,
U-01308,monthly_pro,subscribe,2024-09-16,,
U-01323,monthly_pro,subscribe,2024-04-04,,
U-01335,monthly_pro,subscribe,2024-11-16,,
U-01336,monthly_basic,subscribe,2024-07-14,,
U-01341,monthly_pro,subscribe,2024-10-14,,
U-01353,annual_basic,subscribe,2025-01-08,,
U-01367,annual_basic,subscribe,2024-12-30,,
U-01369,monthly_basic,subscribe,2024-09-19,,
U-01394,annual_pro,subscribe,2024-07-20,,
U-01398,annual_basic,subscribe,2024-10-12,,
U-01400,annual_basic,subscribe,2024-08-02,,
U-01418,annual_basic,subscribe,2024-05-02,,
U-01420,annual_basic,subscribe,2024-04-24,,
U-01421,monthly_basic,subscribe,2024-10-12,,
U-01423,monthly_pro,subscribe,2025-01-13,,
U-01428,annual_basic,subscribe,2025-01-11,,
U-01429,monthly_pro,subscribe,2024-07-20,,
U-01442,monthly_basic,subscribe,2024-12-06,,
U-01443,annual_pro,subscribe,2024-09-28,,
U-01443,annual_pro,cancel,2024-11-28,,technical_issues
