push_id,user_id,campaign_id,sent_at,push_type,title,opened,opened_at
PUSH-7053a4a3,U-00025,,2025-01-06T20:24:00,system,새로운 기능이 추가됐어요,True,2025-01-06T20:34:00
PUSH-d528ada6,U-00049,CMP-010,2025-01-06T18:42:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-37466ed2,U-00122,CMP-009,2025-01-06T20:42:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-7c9c0737,U-00183,CMP-008,2025-01-06T14:03:00,lesson_reminder,학습 루틴을 이어가세요 💪,True,2025-01-06T15:32:00
PUSH-1b3a3be8,U-00579,CMP-011,2025-01-06T18:50:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-06T20:01:00
PUSH-12672d73,U-00599,CMP-007,2025-01-06T18:58:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-9e49bae9,U-00782,CMP-009,2025-01-06T12:23:00,re_engagement,돌아오신 것을 환영해요!,True,2025-01-06T12:57:00
PUSH-b6f41c7b,U-00800,CMP-001,2025-01-06T12:47:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-eb0a6047,U-00818,,2025-01-06T12:23:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-e5c43117,U-00902,CMP-010,2025-01-06T18:22:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-06T19:01:00
PUSH-fe75cb00,U-01054,CMP-007,2025-01-06T18:03:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-f6402258,U-01083,CMP-009,2025-01-06T20:45:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-06T21:20:00
PUSH-6d8fca8d,U-01348,,2025-01-06T20:26:00,system,새로운 기능이 추가됐어요,False,
PUSH-ab5358fb,U-01657,,2025-01-06T12:30:00,system,새로운 기능이 추가됐어요,False,
PUSH-a9de9f84,U-01688,CMP-002,2025-01-06T14:42:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-9424fcf1,U-01726,CMP-011,2025-01-06T18:43:00,system,강의 업데이트 알림,False,
PUSH-d56328f5,U-01870,CMP-003,2025-01-06T18:25:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-47f77e19,U-02088,CMP-011,2025-01-06T12:25:00,promotion,수료증 발급 가능한 강의를 확인해보세요,False,
PUSH-6ef4c8e3,U-02217,,2025-01-06T14:22:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-f15ab280,U-02229,CMP-011,2025-01-06T20:19:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,True,2025-01-06T20:42:00
PUSH-884f5ad4,U-02242,,2025-01-06T10:06:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-68cf9082,U-02330,CMP-002,2025-01-06T12:05:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-95a57f22,U-02346,CMP-009,2025-01-06T20:12:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,False,
PUSH-006e8b93,U-02420,,2025-01-06T18:31:00,promotion,🎉 이번 주 한정! Pro 플랜 30% 할인,True,2025-01-06T20:09:00
PUSH-9ee61724,U-02708,CMP-003,2025-01-06T18:01:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-48737da3,U-02726,,2025-01-06T14:19:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-aac673af,U-02729,CMP-009,2025-01-06T20:12:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-06T21:27:00
PUSH-ad9bdadf,U-03028,CMP-013,2025-01-06T20:27:00,system,이번 달 학습 리포트가 준비됐어요 📊,False,
PUSH-f64ce177,U-03033,CMP-007,2025-01-06T20:01:00,lesson_reminder,오늘의 강의가 기다리고 있어요! 📚,False,
PUSH-a84b8192,U-03502,CMP-011,2025-01-06T10:01:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-d7ca2fb9,U-03528,,2025-01-06T12:09:00,re_engagement,스타티에서 배움을 이어가세요,False,
PUSH-9886a3d7,U-03573,CMP-002,2025-01-06T12:48:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-1d083a79,U-03784,CMP-007,2025-01-06T20:07:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-d64894e7,U-04201,CMP-010,2025-01-06T12:06:00,re_engagement,돌아오신 것을 환영해요!,False,
PUSH-6d232855,U-04300,CMP-001,2025-01-06T18:24:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-f4f0a784,U-04324,CMP-011,2025-01-06T12:53:00,lesson_reminder,학습 루틴을 이어가세요 💪,False,
PUSH-42dd1b93,U-04430,CMP-003,2025-01-06T12:41:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,True,2025-01-06T14:38:00
PUSH-b8eefd5a,U-04489,CMP-008,2025-01-06T14:50:00,system,새로운 기능이 추가됐어요,False,
PUSH-a4e86b5c,U-04514,CMP-010,2025-01-06T10:50:00,lesson_reminder,어제 멈춘 곳부터 다시 시작해볼까요?,False,
PUSH-b18ebabc,U-04727,CMP-003,2025-01-06T18:20:00,promotion,새로운 AI 강의가 출시됐어요!,False,
