user_id,signup_date,acquisition_source,device_type,campaign_id,signup_method,gender,age_group,job_category,state,current_plan,plan_start_date,is_activated,activation_date,churn_date,cancel_reason,total_sessions,total_lessons_completed,last_active_date
U-00001,2024-10-31,organic,ios,,kakao,male,30-34,student,churned,,,False,,2024-12-07,,0,0,2024-12-07
U-00002,2024-03-18,youtube,web,CMP-010,google,other,25-29,sales,churned,,,False,,2024-04-07,,0,0,2024-04-07
U-00003,2024-07-20,youtube,web,CMP-010,kakao,female,25-29,marketing,churned,,,False,,2024-09-02,,0,0,2024-09-02
U-00004,2024-06-30,youtube,web,CMP-010,email,female,35-39,design,active,annual_pro,2024-07-07,False,,,,82,57,2025-05-23
U-00005,2024-11-20,youtube,ios,CMP-010,email,female,35-39,hr,churned,,,False,,2024-11-29,,0,0,2024-11-29
U-00006,2024-11-08,google_ads,web,CMP-003,google,female,25-29,student,churned,,,False,,2025-04-24,found_alternative,4,1,2025-02-06
U-00007,2024-12-19,instagram_influencer,web,CMP-012,kakao,male,25-29,other,active,monthly_pro,2024-12-27,False,,,,47,9,2025-05-24
U-00008,2024-04-26,instagram_influencer,ios,CMP-013,email,female,35-39,other,resurrected,monthly_basic,2025-04-08,False,,2024-05-06,,13,5,2025-05-19
U-00009,2024-09-06,meta_ads,ios,CMP-006,email,male,20-24,finance,churned,,,False,,2024-09-16,,0,0,2024-09-16
U-00010,2024-03-22,organic,android,,email,female,30-34,office_admin,churned,,,False,,2024-04-06,,0,15,2024-04-06
U-00011,2024-06-28,organic,ios,,email,male,25-29,marketing,churned,,,False,,2024-07-16,,0,0,2024-07-16
U-00012,2024-09-29,organic,ios,,kakao,male,20-24,hr,resurrected,monthly_basic,2025-05-09,False,,2025-04-18,too_expensive,21,19,2025-05-23
U-00013,2024-03-19,google_ads,web,CMP-001,google,female,30-34,other,churned,,,False,,2024-04-01,,0,0,2024-04-01
U-00014,2024-06-20,referral,android,CMP-009,email,male,30-34,developer,resurrected,monthly_basic,2025-02-04,False,,2024-08-06,,78,26,2025-05-25
U-00015,2024-11-02,google_ads,web,CMP-001,google,female,35-39,hr,active,annual_basic,2024-11-10,False,,,,32,9,2025-05-11
U-00016,2024-10-09,referral,android,CMP-009,kakao,male,25-29,design,churned,,,False,,2025-03-31,too_expensive,16,0,2025-02-20
U-00017,2024-06-29,organic,ios,,kakao,female,30-34,developer,resurrected,monthly_basic,2025-04-11,False,,2024-07-22,,15,5,2025-05-25
U-00018,2024-10-19,organic,ios,,email,female,25-29,marketing,free_active,,,False,,,,14,14,2025-04-14
U-00019,2024-12-04,meta_ads,ios,CMP-004,email,male,30-34,developer,churned,,,False,,2025-02-28,not_using,0,0,2024-12-30
U-00020,2024-03-05,youtube,web,CMP-011,email,female,25-29,student,free_active,,,False,,,,10,4,2025-03-21
U-00021,2024-12-03,meta_ads,android,CMP-005,naver,female,30-34,design,churned,,,False,,2024-12-28,,0,0,2024-12-28
U-00022,2024-11-12,content_marketing,web,CMP-008,email,male,20-24,design,churned,,,False,,2024-12-14,,0,0,2024-12-14
U-00023,2024-08-12,meta_ads,web,CMP-004,google,female,25-29,sales,churned,,,False,,2024-10-01,,0,0,2024-10-01
U-00024,2024-05-31,organic,web,,email,female,30-34,other,free_active,,,False,,,,12,35,2025-05-20
U-00025,2024-12-30,organic,ios,,kakao,male,25-29,marketing,active,annual_basic,2025-01-07,False,,,,47,16,2025-05-22
U-00026,2024-08-10,meta_ads,ios,CMP-005,email,male,25-29,sales,churned,,,False,,2024-10-03,,0,0,2024-10-03
U-00027,2024-04-29,instagram_influencer,android,CMP-013,kakao,male,35-39,marketing,churned,,,False,,2025-03-10,content_quality,4,1,2025-01-22
U-00028,2024-05-01,youtube,ios,CMP-011,google,female,30-34,marketing,resurrected,monthly_basic,2025-03-23,False,,2024-05-30,,35,14,2025-05-23
U-00029,2024-12-11,meta_ads,android,CMP-005,kakao,male,35-39,developer,free_active,,,False,,,,9,0,2025-04-11
U-00030,2024-10-23,organic,ios,,kakao,female,25-29,developer,churned,,,False,,2024-11-07,,0,4,2024-11-07
U-00031,2024-12-03,youtube,android,CMP-010,google,male,25-29,developer,churned,,,False,,2025-01-06,,0,0,2025-01-06
U-00032,2024-11-19,organic,ios,,google,male,25-29,student,churned,,,False,,2024-12-13,,0,0,2024-12-13
U-00033,2024-10-06,instagram_influencer,web,CMP-012,kakao,female,25-29,other,churned,,,False,,2024-11-28,,0,0,2024-11-28
U-00034,2025-01-01,google_ads,web,CMP-003,naver,male,35-39,design,churned,,,False,,2025-01-09,trial_expired,0,0,2025-01-06
U-00035,2024-08-24,organic,ios,,naver,female,35-39,finance,churned,,,False,,2024-09-13,,0,19,2024-09-13
U-00036,2024-10-10,meta_ads,ios,CMP-004,kakao,male,20-24,marketing,churned,,,False,,2024-11-26,,0,2,2024-11-26
U-00037,2024-12-08,organic,android,,naver,female,30-34,marketing,churned,,,False,,2025-04-06,too_expensive,0,0,2024-12-31
U-00038,2024-10-26,youtube,android,CMP-010,naver,female,25-29,design,churned,,,False,,2024-11-20,,0,0,2024-11-20
